ID;SchoolCode;SchoolName;Address;City;StateCode;ZipCode;Province;Country;PostalCode
27038;G31070;SOUTHWEST CLG OF NATUROPATHIC MED;2140 E. BROADWAY ROAD;TEMPE;AZ;85282;;;
27039;G31108;BAKKE GRADUATE UNIVERSITY;1013 EIGHTH AVENUE;SEATTLE;WA;98104;;;
27040;G31169;BAPTIST THEOLOGICAL SEM.-RICHMOND;3400 BROOK ROAD;RICHMOND;VA;23227;;;
27041;G31268;PACIFICA GRADUATE INSTITUTE;249 LAMBERT ROAD;CARPINTERIA;CA;93013;;;
27042;G31406;SOUTHERN CROSS UNIVERSITY;MILITARY ROAD;EAST LISMORE;FC;00000;NSW;AUSTRALIA;2480
27043;G31504;UNIVERSITY OF TECHNOLOGY, SYDNEY;INTERNATIONAL PROGRAMS OFFICE;SYDNEY;FC;00000;;AUSTRALIA;NSW 2007
27044;G31713;UNIVERSITY OF ST. AUGUSTINE FOR HEALTH S;1 UNIVERSITY BLVD;ST. AUGUSTINE;FL;32084;;;
27045;G31733;ATLANTA'S JOHN MARSHALL LAW SCHOOL;1422 WEST PEACHTREE STREET, N.W.;ATLANTA;GA;30309;;;
27046;G31773;SAN JUAN BAUTISTA SCH OF MEDICINE;CARR.172, SALIDA #21;CAGUAS;PR;00726;;;
27047;G31913;CUNY SCHOOL OF LAW @ QUEENS COLLEGE;65-21 MAIN STREET;FLUSHING;NY;11367;;;
27048;G31943;BOSTON GRAD SCH OF PSYCHOANALYSIS;1581 BEACON STREET;BROOKLINE;MA;02446;;;
27049;G32163;UNIFICATION THEOLOGICAL SEMINARY;30 SEMINARY DRIVE;BARRYTOWN;NY;12507;;;
27050;G32733;CANADIAN COLLEGE OF NATUROPATHIC ME;1255 SHEPPARD AVENUE EAST;TORONTO;CN;00000;ONTARIO;CANADA;M2K 1E2
27051;G32803;SEATTLE INST OF ORIENTAL MEDICINE;916 NE 65TH STREET SUITE B;SEATTLE;WA;98115;;;
27052;G32873;LIVERPOOL INSTITUTE FOR PERFORMING ARTS;MOUNT STREET;LIVERPOOL;FC;00000;;ENGLAND;L1 9HF
27053;G32883;ACAD CHINESE CULTURE & HEALTH SCIS;1601 CLAY STREET;OAKLAND;CA;94512;;;
27054;G32983;ALBERTA COLLEGE OF ART & DESIGN;1407 - 14TH AVENUE NW;CALGARY;CN;00000;ALBERTA;CANADA;T2N 4R3
27055;G33004;FIRST FACULTY OF MEDICINE, CHARLES UNIV.;KATERINSKA 32;PRAGUE 2;FC;00000;;CZECH REPUBLIC;121 08
